time,hip,thigh,calf
1.75197640733558E+018,-0.0122695343255997,0.739806235275269,-1.5954862206459
1.75197640733764E+018,-0.0122059616088867,0.739599985351562,-1.59499147338867
1.7519764073397E+018,-0.0121423888921738,0.739393735427856,-1.59449672613144
1.75197640734187E+018,-0.0120788161754608,0.73918748550415,-1.59400197887421
1.75197640734394E+018,-0.0120152434587479,0.738981235580444,-1.59350723161697
1.75197640734604E+018,-0.0119516707420349,0.738774985656738,-1.59301248435974
1.75197640734818E+018,-0.011888098025322,0.738568735733032,-1.59251773710251
1.75197640735031E+018,-0.011824525308609,0.738362485809326,-1.59202298984528
1.75197640735244E+018,-0.0117609525918961,0.73815623588562,-1.59152824258804
1.75197640735451E+018,-0.0116973798751831,0.737949985961914,-1.59103349533081
1.75197640735657E+018,-0.0116338071584702,0.737743736038208,-1.59053874807358
1.75197640735871E+018,-0.0115702344417572,0.737537486114502,-1.59004400081635
1.75197640736076E+018,-0.0115066617250443,0.737331236190796,-1.58954925355911
1.75197640736287E+018,-0.0114430890083313,0.73712498626709,-1.58905450630188
1.751976407365E+018,-0.0113795162916183,0.736918736343384,-1.58855975904465
1.75197640736715E+018,-0.0113159435749054,0.736712486419678,-1.58806501178741
1.7519764073693E+018,-0.0112523708581924,0.736506236495972,-1.58757026453018
1.75197640737143E+018,-0.0111887981414795,0.736299986572266,-1.58707551727295
1.75197640737353E+018,-0.0111252254247665,0.73609373664856,-1.58658077001572
1.75197640737567E+018,-0.0110616527080536,0.735887486724853,-1.58608602275848
1.7519764073777E+018,-0.0109980799913406,0.735681236801147,-1.58559127550125
1.75197640737977E+018,-0.0109345072746277,0.735474986877441,-1.58509652824402
1.75197640738192E+018,-0.0108709345579147,0.735268736953735,-1.58460178098679
1.75197640738406E+018,-0.0108073618412018,0.735062487030029,-1.58410703372955
1.7519764073862E+018,-0.0107437891244888,0.734856237106323,-1.58361228647232
1.75197640738834E+018,-0.0106802164077759,0.734649987182617,-1.58311753921509
1.75197640739045E+018,-0.0106166436910629,0.734443737258911,-1.58262279195786
1.75197640739261E+018,-0.01055307097435,0.734237487335205,-1.58212804470062
1.75197640739463E+018,-0.010489498257637,0.734031237411499,-1.58163329744339
1.75197640739667E+018,-0.0104259255409241,0.733824987487793,-1.58113855018616
1.75197640739877E+018,-0.0103623528242111,0.733618737564087,-1.58064380292892
1.75197640740091E+018,-0.0102987801074982,0.733412487640381,-1.58014905567169
1.75197640740305E+018,-0.0102352073907852,0.733206237716675,-1.57965430841446
1.7519764074052E+018,-0.0101716346740723,0.732999987792969,-1.57915956115723
1.7519764074073E+018,-0.0101080619573593,0.732793737869263,-1.57866481389999
1.75197640740953E+018,-0.0100444892406464,0.732587487945557,-1.57817006664276
1.75197640741155E+018,-0.0099809165239334,0.732381238021851,-1.57767531938553
1.75197640741359E+018,-0.00991734380722046,0.732174988098144,-1.5771805721283
1.75197640741566E+018,-0.00985377109050751,0.731968738174438,-1.57668582487106
1.75197640741777E+018,-0.00979019837379455,0.731762488250732,-1.57619107761383
1.7519764074199E+018,-0.00972662565708161,0.731556238327026,-1.5756963303566
1.75197640742204E+018,-0.00966305294036865,0.73134998840332,-1.57520158309937
1.75197640742417E+018,-0.0095994802236557,0.731143738479614,-1.57470683584213
1.75197640742634E+018,-0.00953590750694276,0.730937488555908,-1.5742120885849
1.7519764074284E+018,-0.00947233479022979,0.730731238632202,-1.57371734132767
1.75197640743047E+018,-0.00940876207351685,0.730524988708496,-1.57322259407043
1.75197640743252E+018,-0.00934518935680389,0.73031873878479,-1.5727278468132
1.75197640743459E+018,-0.00928161664009094,0.730112488861084,-1.57223309955597
1.75197640743665E+018,-0.009218043923378,0.729906238937378,-1.57173835229874
1.75197640743873E+018,-0.00915447120666504,0.729699989013672,-1.5712436050415
1.7519764074409E+018,-0.00909089848995209,0.729493739089966,-1.57074885778427
1.75197640744298E+018,-0.00902732577323913,0.72928748916626,-1.57025411052704
1.75197640744508E+018,-0.00896375305652618,0.729081239242554,-1.56975936326981
1.75197640744722E+018,-0.00890018033981324,0.728874989318848,-1.56926461601257
1.75197640744937E+018,-0.00883660762310028,0.728668739395142,-1.56876986875534
1.75197640745151E+018,-0.00877303490638733,0.728462489471436,-1.56827512149811
1.75197640745357E+018,-0.00870946218967437,0.728256239547729,-1.56778037424088
1.75197640745563E+018,-0.00864588947296143,0.728049989624023,-1.56728562698364
1.75197640745784E+018,-0.00858231675624848,0.727843739700317,-1.56679087972641
1.75197640745987E+018,-0.00851874403953552,0.727637489776611,-1.56629613246918
1.75197640746196E+018,-0.00845517132282258,0.727431239852905,-1.56580138521194
1.7519764074641E+018,-0.00839159860610961,0.727224989929199,-1.56530663795471
1.75197640746624E+018,-0.00832802588939667,0.727018740005493,-1.56481189069748
1.75197640746838E+018,-0.00826445317268372,0.726812490081787,-1.56431714344025
1.7519764074705E+018,-0.00820088045597076,0.726606240158081,-1.56382239618301
1.75197640747256E+018,-0.00813730773925782,0.726399990234375,-1.56332764892578
1.75197640747467E+018,-0.00807373502254485,0.726193740310669,-1.56283290166855
1.75197640747678E+018,-0.00801016230583191,0.725987490386963,-1.56233815441132
1.75197640747888E+018,-0.00794658958911896,0.725781240463257,-1.56184340715408
1.75197640748101E+018,-0.007883016872406,0.725574990539551,-1.56134865989685
1.75197640748316E+018,-0.00781944415569306,0.725368740615845,-1.56085391263962
1.7519764074853E+018,-0.0077558714389801,0.725162490692139,-1.56035916538239
1.75197640748744E+018,-0.00769229872226715,0.724956240768433,-1.55986441812515
1.75197640748947E+018,-0.00762872600555421,0.724749990844726,-1.55936967086792
1.75197640749165E+018,-0.00756515328884124,0.72454374092102,-1.55887492361069
1.75197640749365E+018,-0.0075015805721283,0.724337490997314,-1.55838017635345
1.75197640749567E+018,-0.00743800785541534,0.724131241073608,-1.55788542909622
1.75197640749774E+018,-0.00737443513870239,0.723924991149902,-1.55739068183899
1.75197640749989E+018,-0.00731086242198945,0.723718741226196,-1.55689593458176
1.75197640750203E+018,-0.00724728970527649,0.72351249130249,-1.55640118732452
1.75197640750417E+018,-0.00718371698856354,0.723306241378784,-1.55590644006729
1.75197640750628E+018,-0.00712014427185058,0.723099991455078,-1.55541169281006
1.75197640750844E+018,-0.00705657155513763,0.722893741531372,-1.55491694555283
1.75197640751049E+018,-0.00699299883842469,0.722687491607666,-1.55442219829559
1.75197640751253E+018,-0.00692942612171173,0.72248124168396,-1.55392745103836
1.75197640751459E+018,-0.00686585340499878,0.722274991760254,-1.55343270378113
1.75197640751665E+018,-0.00680228068828582,0.722068741836548,-1.5529379565239
1.75197640751876E+018,-0.00673870797157288,0.721862491912842,-1.55244320926666
1.7519764075209E+018,-0.00667513525485993,0.721656241989136,-1.55194846200943
1.75197640752299E+018,-0.00661156253814697,0.72144999206543,-1.5514537147522
1.75197640752516E+018,-0.00654798982143402,0.721243742141724,-1.55095896749496
1.75197640752724E+018,-0.00648441710472106,0.721037492218018,-1.55046422023773
